P_id,Parla_Accession_No,Parla_Language_Name,Culture,P_cid,Culture_2,P_cid_2,Parla_V1,Parla_V2,Parla_V3,Parla_V4,Parla_V5,Parla_V6,Parla_V7,Parla_V8,Parla_V9A,Parla_V9B,Parla_V9C,Parla_V10,Parla_V11,Parla_V12A,Parla_V12B,Parla_V13,Parla_V14,Parla_V15,Parla_V16,Parla_V17,Parla_V18,Parla_V19,Parla_V20,Parla_V21,Parla_V22,Parla_V23,Parla_V24,Parla_V25,Parla_V26,Parla_V27,Parla_V28,Parla_V29,Parla_V30,Parla_V31,Parla_V32,Parla_V33,Parla_V34,Parla_V35,Parla_V36,Parla_V37,Parla_V38,Parla_V39,Parla_V40,Parla_V41,Parla_V42,Parla_V43,Parla_V44,Parla_V45,Parla_V46,Parla_V47,Parla_V48,Parla_V49,Parla_Real1,Parla_Real2,Parla_Real3,Parla_Real4,Parla_Real5,Parla_Real6,Parla_Real7,Parla_Real8,Parla_Coder,Parla_Active
145,2114,Greek,Athens,62541,Cephalonia,16072,32,20,8,4,8,8,4,32,2,8,2,8,4,4,32,4,4,12,24,2,2,2,2,12,16,4,12,16,8,24,16,2,6,16,12,4,2,12,6,8,32,64,64,8,8,6,2,4,6,6,2,4,7234,65,45120,49215,16448,63,24641,1090,,1
180,55361,Tiv,Tiv,27160,,,32,4,4,28,24,16,4,16,2,8,4,8,8,4,16,0,0,8,16,4,4,4,4,8,16,4,16,8,16,8,16,4,2,4,16,0,8,16,8,8,32,4,16,8,8,8,8,4,2,4,4,6,20546,24641,32832,32831,16448,64,45121,47169,,1
165,64578,Nuer,Nuer,22870,,,0,40,4,12,8,2,8,8,2,2,4,8,32,16,32,16,4,16,2,2,4,4,2,4,16,8,16,4,16,16,16,4,2,8,16,16,16,2,8,8,32,256,2,8,8,4,4,4,2,4,2,2,12353,64,24640,49215,63,64,57409,5186,,1
175,61505,Wolof,Wolof,28744,,,32,20,4,12,2,4,8,8,2,4,2,8,12,4,16,48,2,12,4,2,2,2,4,4,4,2,2,2,6,8,8,4,2,32,40,16,34,24,12,8,32,64,2,16,8,6,4,2,6,2,2,4,0,0,0,0,0,0,0,0,,1
148,4675,English,Greek Immigrant,62542,,,16,4,8,28,16,2,16,32,2,2,2,8,16,16,0,32,4,16,4,2,4,4,8,8,16,2,8,8,8,8,8,4,2,16,16,16,32,4,4,8,32,4,4,8,16,4,4,2,2,2,2,2,38977,64,41024,32831,63,49215,47169,59457,,1
149,4931,Greek,Greek Cypriots,62465,,,32,4,8,8,16,16,16,32,2,4,8,8,16,16,0,4,4,16,4,8,4,4,8,8,32,8,16,16,16,16,8,4,6,20,16,16,16,4,8,8,32,256,4,8,16,8,24,2,4,4,2,2,10306,41024,41024,32831,8256,24640,53313,32959,,1
55,63042,Nanai,Nanai,16017,,,32,20,2,20,16,8,16,16,4,8,2,8,8,4,0,20,2,4,16,8,2,4,16,4,32,4,2,4,4,16,16,4,4,8,8,4,16,8,8,8,32,256,4,8,8,8,4,2,4,2,4,2,61505,16448,32832,8256,16448,32831,16449,32959,,1
77,53826,Rennell-Bellona,Mugaba,24245,,,0,22,4,12,16,8,32,32,2,2,4,8,16,16,0,16,4,16,2,2,8,8,4,8,32,2,4,4,8,16,16,2,0,16,16,16,32,32,16,8,32,64,2,8,8,4,8,2,2,4,4,2,61505,64,41024,49215,63,8256,43073,47169,,1
129,8003,English,Appalachia,18349,,,8,2,8,16,2,16,32,16,2,2,4,8,2,2,0,8,2,4,2,2,2,2,8,16,4,4,8,8,4,4,2,2,2,8,16,8,8,4,16,8,32,16,2,4,8,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,,1
93,65,Bahasa Indonesian,South Jakarta,17557,,,8,4,8,8,2,16,32,128,32,8,2,8,12,4,16,4,6,24,12,12,4,2,4,4,20,4,10,12,16,4,12,6,6,16,24,0,48,48,32,8,32,20,104,24,6,6,20,2,4,4,2,4,8258,16448,6209,41024,16448,63,28737,51265,,1
